Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:02hUKU0Tx3424AyjPzlqze,"Lone Palm","Fruitcakes","Jimmy Buffett",1994-01-01,267866,30,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:54:29Z,"","Geffen*",0.737,0.376,11,-11.997,1,0.0322,0.485,0,0.158,0.532,114.661,4
spotify:track:14tOjPOpGoXrzsifljrhwm,"First Look","Floridays","Jimmy Buffett",1986-01-01,241533,26,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:54:31Z,"","Geffen*",0.888,0.497,11,-13.77,0,0.0424,0.323,0.0000106,0.0412,0.963,131.575,4
spotify:track:0WfDZMpAmzyF8oLaCQcow2,"Jolly Mon Sing","Last Mango In Paris","Jimmy Buffett",1985-01-01,197600,45,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:54:32Z,"","Geffen*",0.583,0.312,2,-17.047,1,0.0567,0.449,0,0.27,0.54,146.406,4
spotify:track:5oW67aA5ZHzVwmEaMkDueA,"Off To See The Lizard","Off To See The Lizard","Jimmy Buffett;Elliot Scheiner",1989-01-01,254466,30,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:54:35Z,"","Geffen*",0.747,0.522,7,-11.833,1,0.0372,0.0718,0.0000184,0.023,0.96,81.993,4
spotify:track:4IAkRsDolUHFCHHMYoG4CX,"Changes In Latitudes, Changes In Attitudes - Live (1978 Version)","You Had To Be There: Recorded Live","Jimmy Buffett;Elliot Scheiner",2011-01-01,208400,25,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:54:41Z,"","Geffen*",0.634,0.534,2,-15.7,1,0.0757,0.465,0,0.746,0.748,130.156,4
spotify:track:20ocA49EG0y55xz5HCbWxn,"Fins - Live/1990","Feeding Frenzy","Jimmy Buffett",1990-01-01,280682,21,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:54:44Z,"","Geffen*",0.399,0.942,4,-9.099,1,0.123,0.106,0.0000574,0.986,0.423,136.347,4
spotify:track:07wPpXiIAXzigiGea9Q0Xi,"Son of a Son of a Sailor - Live","Buffett Live: Tuesdays, Thursdays, Saturdays","Jimmy Buffett",1999-11-09,205893,24,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:54:46Z,"","Mailboat Records",0.615,0.635,7,-9.047,1,0.0588,0.597,0.00000122,0.895,0.499,121.633,4
spotify:track:7FKaPwiNxrNTpoxm157hob,"It's Five O'Clock Somewhere - Live","Live in Anguilla","Jimmy Buffett",2007-11-06,207826,18,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:54:52Z,"","Mailboat Records",0.557,0.905,2,-5.334,1,0.0409,0.535,0,0.989,0.875,130.54,4
spotify:track:5gGF6BWljzxvBmu6NZScxy,"Growing Older but Not Up - Live","Encores (Live)","Jimmy Buffett",2010-04-20,240626,18,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:54:55Z,"","Mailboat Records",0.584,0.718,4,-5.558,1,0.0575,0.862,0,0.487,0.707,119.338,4
spotify:track:18sRNVmfbL3FQ2id915HMH,"Changes in Latitudes, Changes in Attitudes - Live","Live in Anguilla","Jimmy Buffett",2007-11-06,215506,21,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:54:58Z,"","Mailboat Records",0.53,0.95,2,-5.614,1,0.132,0.536,0,0.672,0.633,131.567,4
